project_id,open_project_id,project_title,project_objective,scale,country,region,undp_role_type,thematic_focus,ssc_description,territorial_focus,partner_type,project_link,edit_link
"xxx5c2ac610",,"Intercambio con el proyecto-institucion Pronicaragua (Agencia de Promocion de Inversiones y Exportaciones de Nicaragua),  sobre Inversion Extranjera y Comercio Exterior","Promovido intercambio con el proyecto-institucion Pronicaragua sobre Inversion Extranjera y Comercio Exterior. Acordado Memorandum of Understanding (MoU) entre el  Centro de Promocion de Inversiones  y Exportaciones de Cuba y  ProNicaragua, prevista mision comercial de empresarios radicados en Nicaragua a Cuba (marzo 2015) y valorado proyecto CEPEC PNUD sobre Inversion Extranjera y Exportaciones","country-country","CUB","lac","knowledge_broker|facilitator_of_partnerships","","Acordado Memorandum of Understanding (MoU) entre el  Centro de Promocion de Inversiones  y Exportaciones de Cuba y  ProNicaragua, acordada mision comercial de empresarios radicados en Nicaragua a cuba (marzo 2015) y valorado proyecto CEPEC PNUD sobre Inversion Extranjera y Exportaciones","sids","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx5c2ac610.txt"
"xxx5c5969d1",,"Participation of an Egyptian delegation in  the Association of European Electoral Officials’ Meeting in Romania","The Electoral Advisor to the Prime Minister, the Minister of Transitional Justice & the High Elections Committee Spokesperson attended the Annual Conference & General Assembly Meeting of the Association of European Electoral Officials organized in Romania. It reflected on topics such as the participation of women in electoral processes & current trends in electoral management. 2 of the Egyptian participants are involved in the legislative drafting for the future electoral management body","country-country","EGY","arab_states","knowledge_broker","","The event is one of a series of events to raise awareness and advocate for increased women representation and gender mainstreaming in electoral administration. These efforts eventually contributed to increasing women members in the Secretariat of the High Elections Committee from 1 to 4","mic","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx5c5969d1.txt"
"xxx5c8d8413",,"Study Visit for Parliamentarians to Indonesia","13 MPs and staff from the Union Parliament and Sub-national parliaments went to Indonesia where they visited and learned from the experience there at both the sub-national and national level","country-country","MMR","asia_pacific","knowledge_broker","","This activity was carried out in November/ December 2014 so it is too early to observe evidence of its contribution to results for 2014. It is however informing activities for 2015.","","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx5c8d8413.txt"
"xxx5ccbb638",,"Joint Programme Development and Private Sector","","country-country","PAN","lac","knowledge_broker","sustainable_development_pathways","UNDP organized and financed the transfer of experiences from Peru to Panama on- (1) Innovation in MSMEs (Micro, Small and Medium Enterprises) in craft sector; (2) rural tourism development; (3) credit instruments focused to inclusive economy     ","mic","international_cooperation_development_agencies|national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx5ccbb638.txt"
"xxx5cf36497",,"Enhancing South South Cooperation UNDP Sudan and Central Bank of Sudan Support Micro-finance Development in Somalia (workshop)","To introduce the basic principles of Islamic micro-finance and examine best practices in the region. In particular, the workshop will also help in plotting the future course of action for Somalia to institutionalize the micro-finance industry and integrate it in the recovery and development planning of the country. From Somalia, participants are selected from government officials who are engaged in micro-finance policies and active NGOs in the field of micro-finance. The workshop will be attended by representatives from neighbouring countries of Djibouti, Ethiopia and Kenya.","country-country","SDN","africa","knowledge_broker","sustainable_development_pathways","This workshop is an example of a good practice of South-South cooperation by taking Sudan Islamic microfinance experience as a model, and links UNDP Somalia with the appropriate knowledge, resources, and micro-finance actors from neighbouring countries such as Djibouti, Ethiopia and Kenya. ","fragile_states","national_governments|cso","http://mirror.undp.org/sudan/Presspdf/2013/PR-%20Islamic%20Microfinance%20Workshop%20-English.pdf","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx5cf36497.txt"
"xxx5d9aa2a6",,"Study tours to Malaysia and China on building a capable, career-oriented and Professional Public Service for a developmental state.","A delegation of commissioners from the PSC were hosted by the government of China to expand their knowledge on building a capable, career-oriented and Professional Public Service for a developmental state. The process is further envisaged to inform public sector policy debates on a developmental state.","country-country","ZAF","africa","knowledge_broker","","Following the study tours a national conference was organised and resulted in the development of a guidance document on building a capable, career-oriented and Professional Public Service for a developmental state.","mic","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx5d9aa2a6.txt"
"xxx5db74aa6",,"Integrated Water Resource Management Knowledge Sharing- GoS and the State of Eritrea Ministry of Land, Water and Environment (MLWE)","The MNRE –DWA and MLWE cooperated in the area of Integrated Water Resource Management (IWRM) in December 2014. UNDP coordinated the team of 7 MLWE officials for a learning exercise, seeking to increase the technical knowledge and information on water governance and IWRM practices including strategies for the uptake of water saving technologies. This was hosted by the Swaziland Water Services Corporation a GOS Water Utility parastatal and DWA.","country-country","SWZ","africa","knowledge_broker","","Increased knowledge and sharing of information as well as commitment for future collaboration for the two Governments in the area of integrated water resources management.","","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx5db74aa6.txt"
"xxx5e6b6e73",,"Sharing and Learning on Community Based Disaster Management in Asia (CBDM Asia)","Asia is one of the most disaster-prone region. Regional coordination and cooperation in disaster management in Asia is still far from adequate. The CBDM Asia Project aims at improving knowledge management of disaster risk, promoting experience sharing among the participating countries, and providing a bridge for governments, academia, and communities to engage in dialogues and collaboration. Bangladesh and Nepal are engaged in the project as partner countries.","regional","CHN","asia_pacific","knowledge_broker","","The project organized a mid-term review and an independent evaluation including assessment of reports and interviews with all stakeholders. Community-based disaster management approaches and increased engagement with China was seen as very relevant to all participating countries. Around a thousand individuals participated in project related consultations, meetings and workshops. Workshops were highly rated by participants and there is some evidence that learning is being put into practice.","mic","academia|national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx5e6b6e73.txt"
"xxx5ea821bc",,"Appui à la réflexion sur le développement humain à l’aune de l’agenda post- 2015.","En 2014, l’appui au Conseil National Economique et Social s’est principalement concentré sur les aspects relatifs à la coopération sud- sud. Ainsi  le projet a appuyé l’Algérie dans son rôle régional pour initier les discussions relatives  au  développement humain à l’aune de l’agenda post-2015. Ainsi une déclaration d’Alger a été adoptée par huit pays du Sud. Elle s’est à contribuer à définir la méthodologie de calcul de l’indice de développement  humain à l’échelle régionale.","global","DZA","arab_states","knowledge_broker","","La déclaration d'Alger a été inclue dans la Déclaration adoptée à l’issue de la 17eme conférence du Mouvement des Pays Non-Alignés (mai 2014) et démontre d’une position coordonnée des pays du Sud sur l’agenda du développement post-2015. De plus, ces discussions seront présentées par l’Algérie en sa qualité de Président du Comité de Coordination Conjoint entre les Pays Non-alignés et le G77, lors de la réunion du Comité en 2015, à la veille de la tenue de l’AG de l'ONU sur les ODD post-2015.","","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx5ea821bc.txt"
"xxx5f12f620",,"Mision e intercambio de experiencia del Ministerio de Agricultura de Cuba (MINAG)  y gobiernos locales cubanos, con el Ministerio de Agricultura Acuacultura y Pesca (MAGAP) de Ecuador y sus experiencias territoriales","En dos misiones diferentes (marzo y diciembre 2014) directivos del Ministerio de Agricultura de Cuba (MINAG)  y gobiernos locales cubanos, conocieron y analizaron conjuntamente con las autoridades y directivos del Ministerio de Agricultura Acuacultura y Pesca (MAGAP) de Ecuador y de provincias ecuatorianas, las experiencias relevantes y exitosas de implementacion de la articulacion publico - privada y nacional - local en el fomento de la produccion de alimentos y la seguridad alimentaria.","country-country","ECU","lac","knowledge_broker","","Informe de mision del Ministerio de Agricultura de Cuba y gobiernos locales cubanos al Ecuador _ marzo y diciembre 2014","mic","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx5f12f620.txt"
"xxx5f5c1961",,"First Regional South-South Cooperation fair, Knowledge from the South","UNDP Barbados supported the 1st Regional South-South Cooperation (SSC) Fair, Knowledge from the South- Regional Exchange of Solutions, organized by the UNS, and UNDP RSC-LAC, hosted by the Government of Panama","country-country","BRB","lac","knowledge_broker","","UNDP provided coordination and hosting support, including identifying and selecting 5 Barbados and Eastern Caribbean social and sustainable development cases to share them. Caribbean SIDS shared country experience, learning and solutions in Youth Business, Social Protection and National Strategic Planning during the fair, which provided a space and stage for dialogue among participants to further strengthen intra-Caribbean SSC cooperation.","sids","national_governments","http://saberdelsur.org/en","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx5f5c1961.txt"
"xxx5f871ec9",,"Transferencia de conocimiento mediante la sistematización y difusión de buenas prácticas de inclusión social y modelo pedagógico entre Venezuela y Haití y Triangulación con el gobierno de Brasil.","Se ha avanzado con Fundamusical de Venezuela para definir los términos y alcances la CSS con Haití y se ha recogido la información básica sobre las prioridades de esta cooperación (creación de núcleos (escuelas).","country-country","VEN","lac","knowledge_broker","","Minutas de la reunion del 4 de diciembre, donde el director ejecutivo de FUNDAMUSICAL se compromete a impulsar esta cooperación y a solicitar una reunion de las autoridades de FUNDAMUSICAL con el PNUD y el embajador de Venezuela en Haiti. Documento de propuesta para la sistematización de buenas prácticas en la gestión del Proyecto con FUNDAMUSICAL.","","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx5f871ec9.txt"
"xxx5fe66604",,"Programme d'Appui aux Parcs de l'Entente (PAPE) couvrant Benin, Burkina Faso et Niger","L’objectif du programme est de renforcer durablement la conservation des écosystèmes du complexe WAP (W, Arly, Pendjari) dans une perspective régionale et avec optimisation des bénéfices pour la population riveraine. Il est mis en œuvre dans 3 pays (Bénin, Burkina Faso, Niger) et sous forme de 3 composantes. Le PNUD, avec le BP/Burkina comme chef de file met en œuvre la composante 2  - Renforcer les institutions nationales pour une gestion coordonnée des aires protégées du complexe WAP.","regional","BFA","africa","builder_of_capacities","","Formulation d’un Schéma Directeur d’Aménagement du complexe transfrontalier des aires protégées  du WAP sur base duquel chacun des 3 pays élabore le Plan d'aménagement des Parcs couverts et stratégies lutte anti-braconnage et protection grands carnivores. Plaidoyer auprès du gouvernement du Burkina Faso pour adoption du projet de loi sur révision statut juridique parc d’Arly et matérialisation des limites pour une meilleure gestion des écosystèmes du complexe WAP et d’influer les autres pays.","","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx5fe66604.txt"
"xxx601bd626",,"China-Bangladesh Urban Solutions Lab","The Lab applied design thinking methodology in south-south government-to-government knowledge sharing (Between China and Bangladesh) to adapt China’s one-stop-shop urban service centre model to the Bangladesh context. After a study tour and design thinking workshop in Beijing, a one-stop shop was prototyped in Bangladesh.","regional","CHN","asia_pacific","knowledge_broker","","Preliminary designs of a one-stop service centre and testing of the design through the prototype method were completed in Bangladesh. The methodology was acknowledged as robust and is being codified to be used in conducting such S-S exchanges in the future.","mic","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx601bd626.txt"
"xxx60a22570",,"Experience sharing field mission to Peru for the Aden Dismissals Commission","UNDP Yemen Transitional Justice Project organized experience sharing field visit to Peru. The purpose of the mission was to enable representatives of the Commission to get more information on issues which are of critical importance for the Commission’s work - screening; treating urgent claims; Grouping cases; innovative remedies that do not involve only monetary compensations; categorizing claims, so as to be able to make group decisions; Database; Evidences; sensitive cases; Public relations","country-country","YEM","arab_states","knowledge_broker","","Until June 2014 the commission finalized only 3000 cases. During the mission in Peru the Commission had the opportunity to concretely observe how reparation was functioning in Peru and was confronted to specific cases and how cases were solved. By providing range of technical information and solutions relevant to the Commission’s work, the Commission managed to define appropriate resolutions. Following the mission in Peru, the Dismissals Commission solved 15000 of individual and mass claims","","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx60a22570.txt"
"xxx60ba3207",,"coopération tripartite  entre le Tunisie, le Mexique et le Maroc (méthodologie mesure indicateurs pauvreté)","L'ONDH a signé deux partenariats avec des homologues en Tunisie et au Mexique pour affiner la méthodologie de mesure de la pauvreté.","country-country","MAR","arab_states","knowledge_broker","","cette convention tripartite de partenariat va permettre une collaboration pour opérationnaliser les instruments d'évaluation des PP et d'échange fructeux entre les 3 pyas dans le domaine cité.","mic","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx60ba3207.txt"
"xxx60e3794e",,"Gender Equality Management system in businesses and institutions","","country-country","DOM","lac","knowledge_broker","sustainable_development_pathways","UNDP facilitated information and knowledge exchange between Mexico, Chile, Dominican Republic and other countries in LAC region on best practices and lessons learned on promoting gender equality at the workplace, promotion of the Gender Equality Seal in the private sector and organizations. As a result, a Gender Equality Seal initiative  was established in the Dominican Republic","sids","national_governments|private_sector","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx60e3794e.txt"
"xxx612c5f8b",,"Binational Local Development Project","","country-country","HTI","lac","builder_of_capacities|knowledge_broker","","UNDP provides capacity building, exchange facilitation and knowledge brokering between Dominican Republic and Haiti. The two UNDP country offices coordinate this initiative on local economic development and human rights.","fragile_states","regional_inter_governmental_organizations|national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx612c5f8b.txt"
"xxx6158bc33",,"Construction of Nablus Special Needs Center","UNDP/PAPP was entrusted by the IBSA Forum (India, Brazil and South Africa) with a total amount of US$ 1,000,000 for the design and construction of the first phase of a rehabilitation centre that will house and cater to individuals over 18 years old who are suffering from severe mental handicaps. The total area to be constructed through the first phase is approximately 950 square meters.","global","PAL","arab_states","facilitator_of_partnerships","","The project under the SSC framework considered one of the key achievements for supporting the national development agenda in 2014. The result outlined under the IBSA Fund Annual report 2014 - http -//tcdc2.undp.org/ibsa/documents/Q1%202014/IBSA%20Report%202014_sm.pdf.","n/a","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx6158bc33.txt"
"xxx6200eed2",,"Introduction of Public Expenditure and Financial Accountability (PEFA) standards in PNG","To introduce PEFA standards in PNG, GoPNG officials from the Department of Finance received guidance from senior civil servants from Fiji’s Ministry of Finance to carry out a country self-assessment, identifying critical support needs for effective public financial management.","country-country","PNG","asia_pacific","knowledge_broker","","During 2014, a draft report on the PEFA country self-assessment was produced.  The document outlines critical gaps that need to be addressed through the public financial management reform process.","sids","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx6200eed2.txt"
"xxx6260097c",,"Study tour to Indonesia to gain experience and knowledge on Aid Coordination and Aid Effectiveness (March 2014)","The study tour was organized for the representatives of the Ministry of Finance, Ministry of Economy, and Ministry of Foreign Economic Relations of Uzbekistan to learn how aid coordination mechanism were set up and managed effectively in Indonesia.","country-country","UZB","europe_cis","knowledge_broker","","Lessons related to aligning aid with the state budget, and creation of sector coordination groups[58] are now being implemented in the Aid effectiveness project in Uzbekistan.","mic","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx6260097c.txt"
"xxx630860c9",,"Institutional and operational strengthening of the Chamber of Accounts of the Dominican Republic","","country-country","DOM","lac","knowledge_broker","inclusive_and_effective_democratic_governance","UNDP facilitated knowledge exchange between Peru, Dominican Republic, Cuba, El Salvador, Costa Rica, Ecuador and Nicaragua on the implementation of  evaluation performance framework, supported by the Latin American Organization of Supreme Audit Institutions. The exchange allowed participating insitutions to develop a better understanding of the dynamics of  audit processes. As a result, a community of practice was established for exchanging best practices and lessons learned. ","sids","regional_inter_governmental_organizations|national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx630860c9.txt"
"xxx63a379bf",,"Establishing a Center for South-South Cooperation for better coordination and agreed by Government - PMO, MoF, MFA, POPC. The BRN was a result of Tz learning from Malaysia","No single entity for SSC cordination in Tanzania. The initiative is intended to help the government to rectify the coordination gaps. Cabinet Secretariat (CS) learned from Kenya's Planning Commission; POPC learned from PEMANDU of Malaysia. The end results was to establishing a Center for SSC for better coordination among key institutions PMO, MoF, MFA, POPC and CS. The BRN/SSC resulted from POPC learning from Malaysia Big Fast Results. UNDP provided financial and search for SSC best practices.","country-country","TZA","africa","knowledge_broker|builder_of_capacities","","The initiative influenced also the Cabinet Secretariat to visit and learn from Kenya. In addition, the report helped key central ministries to reflect on institutional reforms required in the future and inform the contents of the center to be established at POPC/CS.","ldc","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx63a379bf.txt"
"xxx64745523",,"The EMBs i.e. NEC (Tz Mainland) and ZEC (Zanzibar) undertook staff professional development through BRIDGE  training programme and learning mission to Kenya's Electoral Commission and Mexico's Electoral Commission in using eletronic BVR for registration.","UNDP supported EMBs (NEC & ZEC) learning mission to Kenya and Mexico. These created opportunities for peer learning and experience sharing especially on election management and reform between the two Tanzanian EMBs (NEC &ZEC) and their counterparts i.e. Electroal Commissions in Kenya and Mexico. UNDP provided financial support, identification of EMBs in Kenya and Mexico and logistic support.","country-country","TZA","africa","knowledge_broker","","There is marked efforts to improve business processes including strategic planning and development of institutional policies. This is evidenced by the development of the Elections calendar and logistics plan by Zanzibar Electoral Commission (ZEC) completed, A gender and social inclusion policy (ZEC) developed and adopted, Voter Education strategy by National Electoral Commission (NEC) completed. Project report 2014., ADR 2014,","ldc","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx64745523.txt"
"xxx647a21b2",,"Human Security Trust Fund - Better livelihoods for citizens of FKP and Obiliq/c The overall goal of the project is to achieve better livelihoods for the most vulnerable communities.","Social Enterprises are promoted under this project. As a concept, SE’s are new in Kosovo. Lessons and best practices were learned from Italy Social Enterprises model – the legal frameworks, tax implication and impact on the disadvantage population. MLSW is in the process of the development of Social Enterprises law. In order to determine the types of SE’s it wants to develop, the team learned from Italy model SE types, the legal framework and the challenges.","regional","KOS","europe_cis","knowledge_broker","","3 Social Enterprises are established in close cooperation with municipalities and civil society organizations. In parallel, the concept document to initiate the law on social enterprises is finalized. Progress reports.http -//kk.rks-gov.net/fushekosove/News/Nderohet-Drejtoria-per-Bujqesi-dhe-Zhvillim-Rural.aspxhttp -//kk.rks-gov.net/fushekosove/News/Vazhdon-implementimi-i-projektit-per-skamnore.aspxhttps -//kk.rks-gov.net/obiliq/News/Kryetari-i-komunes-se-bashku-me-perfaqsuesin-e-UN.aspx","fragile_states","cso|national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx647a21b2.txt"
"xxx64dc4eca",,"Business-to Business meetings","The initiative derives from UNDP's support to inclusive development at sub-national level. Through the  inclusive, multi-stakehodler network established in one of the regions with UNDP support, UNDP supported business-to-business partnership between the region and Kosovo businesses, focused on investments and business development. The is listed for FYR Macedonia because Kosovo is not in the list.","country-country","MKD","europe_cis","knowledge_broker","","The initiative fed directly in the achievemnts of the UNDP supported Inclusive Network of the Vardar Planning Region, part of the UNDP Local Development Programme. The results can be verified in the records of the council of the planning region.","mic","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx64dc4eca.txt"
"xxx653a66af",,"Quinto Encuentro de Magistradas Electorales de Iberoamerica","Del 19 al 21 de mayo tuvo lugar el V Encuentro de Magistradas Electorales para articular esfuerzos a favor de una mayor participación política de las mujeres. En este marco, la Fundación Justicia y Género y el PNUD El Salvador apoyaron al Tribunal Supremo Electoral en el desarrollo de éste encuentro.","regional","SLV","lac","knowledge_broker","","Se generaron acuerdos entre magistradas de organismos electorales con los cuales se buscará profundizar la participación política de las mujeres - http -//www.slideshare.net/roxanasilvach/declaratoria-de-el-salvador-2","mic","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx653a66af.txt"
"xxx665e19e1",,"International Parliamentary Conference in Visegrad Plus Georgia format","Conference “Georgia’s Next Steps Towards the European Union - Sharing Parliamentary Experiences of Visegrad Group States” brought together the Georgian MPs and their colleagues from the Visegrad states. The conference was devoted to discussing the parliamentary experiences in European integration, including the challenges and the effective tools of parliamentary contribution into the process, especially after signing of the Association Agreement with the European Union","regional","GEO","europe_cis","knowledge_broker|facilitator_of_partnerships","","Parliament is actively engaged in developing its strategic action plan covering legislative, oversight and citizen awareness raising activities related to European integration. Cooperation document has been sgined between Georgia and Visegrad groups states on further cooperation steps in the V4 Plus Georgia format, including actions to be taken before the 2015 Riga Eastern Partnership Summit.","mic","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx665e19e1.txt"
"xxx66f741f8",,"Partnership between Russian testing labs and Beijing Lighting Testing Laboratory for cross verification/testing of energy efficient light bulbs (CFLs and LED) initiated and facilitated by the Russian UNDP/GEF EE Lighting project","Partnership set up/agreement signed in 2013 with the purpose to strengthen the market of energy efficient lighting. Planned cross verification/testing of energy efficient light bulbs between the Russian and Chinese laboratories completed in 2014. A joint on-line Russia-China seminar conducted with participating testing laboratories to analyze lessons and plan future cooperation.","country-country","RUS","europe_cis","facilitator_of_partnerships","","The initiative directly contributes to strengthening the market of EE lighting through increased capacities of the testing laboratories. The evidence of immediate relevance is the willingness of direct beneficiaries - Russian and Chinese laboratories to continue the collaboration through an adjusted approach to cross-testing. Indirect beneficiaries - the manufacturers and consumers of the EE light bulbs will potentially benefit from reduced access to market of low quality inefficient bulbs","hic","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx66f741f8.txt"
"xxx6823cfd6",,"East-East workshop in Belgrade in April 2014","Serbia and several other UNDP offices in RBEC region developed concepts for cooperation and sharing resources and knowledge to advance issues, such as role of the youth in curbing corruption.","regional","SRB","europe_cis","facilitator_of_partnerships","","Moldova, Armenia and Serbia developed joint programme (Youth Bridge) for DGTTF submission. The objective is to build coalitions of youth organizations to crowdsource, pitch their ideas/causes on the open space platforms for possible solutions for increased transparency and accountability in the respective sectors","mic","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx6823cfd6.txt"
"xxx6856a005",,"Pueblos Vivos, experiencia de desarrollo económico para el Desarrollo Humano","Se sistematizó la experiencia de movilización de las economías locales vinculadas al turismo interno que abarcó 197 municipios de 262 total del país. Que ha sido en presentada incluso en eventos internacionales, como el Foro Internacional de Desarrollo Económico Local en Iguazú, Brasil  en noviembre 2014.","regional","SLV","lac","","","Documento de sistematización de la experiencia","mic","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx6856a005.txt"
"xxx686811bc",,"SIDS DOCK","Encadres dans l’Alliance des petits Etats insulaires (AOSIS), SIDS DOCK c’est un mecanisme institutionnel collectif pour assister la transformation des secteurs energetiques en catalyseurs d’un developpement durable et appuyer la mobilisation de ressources.","global","CPV","africa","knowledge_broker","","Participation de Cabo Verde dans la Conference International de SIDS- SAMO. Apresentation des initiatives de projets pour financement atravers le mecanisme SIDS DOCK sur la base des reflexions, echanges et partage d'experiences","sids, mic","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx686811bc.txt"
"xxx68ca2045",,"Development of autoclaves to be used in Ebola affected countries","Autoclaves developed in South Africa through GEF programme were deployed with UNDP’s financial and logistical support in Guinea, Liberia and Sierra Leone to safely dispose medical waste","global","ZAF","africa","facilitator_of_partnerships","","deliverly of Autoclaves to ebloa affected countires","mic","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx68ca2045.txt"
"xxx6a966889",,"Support to the establishment process of the national institution of human rights in Uruguay","","country-country","URY","lac","knowledge_broker","inclusive_and_effective_democratic_governance","UNDP facilitated knowledge exchange on institutional building processes between the Offices of the Ombudsman of Argentina, Chile, Peru, Mexico and  Venezuela in the framework of the establishment process of the national institution of human rights in Uruguay.","hic","international_cooperation_development_agencies|national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx6a966889.txt"
"xxx6ae93d41",,"Collaboration with IIT Madras","The help of IIT Madras was sought to help in the development of the Coastal Engineering courses delivered at the University of Mauritius. Through the Adaptation Fund Board project, the local university was put in touch with IIT Madras for the development of specialised Masters levels courses. The UNDP project paid for the development of the handbooks and the visits to Mauritius by the Indian Experts.","country-country","MUS","africa","knowledge_broker","","The short courses will be used to develop an MSc Course on Coastal Engineering to be delivered at the university of Mauritius as from 2015.","sids","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx6ae93d41.txt"
"xxx6b2b9cef",,"Descentralización y Profundización Sectorial","Comisión de alto nivel del Gobierno de Honduras inició intercambio de experiencias de descentralización en sectores como educación, medio ambiente e infraestructura, teniendo en cuenta que la experiencia colombiana, en esta materia, es reconocida nivel regional. Como resultado el Gobierno de Honduras impulsó revisiones para definir una ruta crítica y viable en descentralización para 2015.","country-country","COL","lac","knowledge_broker","","Se espera tener los resultados en el primer trimestre de 2015.","mic","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx6b2b9cef.txt"
"xxx6b9bb4d5",,"Projet d appui a l etablissement d un Systeme National d Integrite en Tunisie","Ouvrir la voie pour des mesures concretes a prendre dans la lutte contre la corruption avec une approche integree.  Les principaux resultats attendus sont -1. Strategie nationale anti-corruption elaboree2. Agence tunisienne de lutte contre la corruption operationalisee3. Rapports de diagnostic sur les cadres juridiques existants developpes4. La connaissance en matiere de lutte contre la corruption institutionnalisee5. La sensibilisation du public est accrue.","regional","TUN","arab_states","knowledge_broker|facilitator_of_partnerships",""," Participation de 14 representants de TACA, OSC et des institutions judiciaires et de controle a 2 visites aux institutions Anti-Corruption au Maroc et en Jordanie. Participation dune delegation tunisienne a une reunion consultative regionale organisee par le Reseau Arabe de Promotion de l’Integrite et de lutte contre la Corruption. Des opportunites de partenariat ont ete etablies entre les structures et des OSC des pays respectifs afin de renforcer leurs complementarites.","mic","cso|national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx6b9bb4d5.txt"
"xxx6c3d6282",,"Voyage d’échange d’expériences sur la prévention et la gestion des inondations à Ouagadougou des cadres du Gouvernorat de Niamey","Quinze (15) responsables de la ville de Niamey, appuyés par le spécialiste des questions de prévention des crises et catastrophes du PNUD, se sont rendus à Ouagadougou pour un échange d’expériences et la visite de sites affectés par des inondations.","country-country","NER","africa","builder_of_capacities","","Le comité régional de gestion des inondations de Niamey a été fortement sensibilisé à l’importance des mesures de prévention des inondations. Suite à ce voyage, la région de Niamey a élaboré et validé un plan d’action pour la prévention et la gestion des inondations et  organisé un atelier de restitution auquel ont été invités les représentants d’autres régions du pays afin de leur faire bénéficier des leçons apprises.","ldc","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx6c3d6282.txt"
"xxx6c96ee80",,"SIDS Inclusive Governance portal","To enhance SIDS knowledge management through the creation of knowledge products developed for specific target groups i.e. journalists, youth, students, general public, with a social media focus to generate interactive support and education on SIDS governance issues with use of evidence-based inputs.","regional","AIA|ATG|BRB|VGB|DMA|GRD|MSR|LCA|KNA|VCT","lac","knowledge_broker","inclusive_and_effective_democratic_governance","UNDP will facilitate the development and management of the portal. ","","","Info send by Panama RSC","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx6c96ee80.txt"
"xxx6cd28583",,"Development of small and medium size entreprises for the promotion of economic inclusion and business  competitiveness","To strengthen small and medium enterprises to promote economic inclusion and business competitiveness through the methodological transfer of the Supplier Development Program (SDP).","country-country","COL","lac","knowledge_broker","sustainable_development_pathways","UNDP facilitated transfer of experience between El Salvador and Colombia. As a result, 25 small and medium supplier enterprises and 56 small business of vulnerable population were developed in 5 cities of the country through a process of personalized technical assistance in the areas of finance, sales, trading and management.","mic","national_governments","","http://prose.io/#undp/ssc/edit/gh-pages/_ssc_projects/xxx6cd28583.txt"
